[2026-06-18T20:38:20.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T20:38:20.030+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.048+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.049+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-06-18T20:38:20.471+0000] {data_modification.py:80} INFO - Update row with Video_ID: 88eTfI9x47w
[2026-06-18T20:38:20.473+0000] {data_modification.py:80} INFO - Update row with Video_ID: um5C-utHA2A
[2026-06-18T20:38:20.475+0000] {data_modification.py:80} INFO - Update row with Video_ID: kGJmJmtYFyA
[2026-06-18T20:38:20.477+0000] {data_modification.py:80} INFO - Update row with Video_ID: wE2AXNh2XSs
[2026-06-18T20:38:20.479+0000] {data_modification.py:80} INFO - Update row with Video_ID: oL5KLgJy-VM
[2026-06-18T20:38:20.481+0000] {data_modification.py:80} INFO - Update row with Video_ID: iwNGdgrHGb0
[2026-06-18T20:38:20.482+0000] {data_modification.py:80} INFO - Update row with Video_ID: vjkYkCa4ziI
[2026-06-18T20:38:20.485+0000] {data_modification.py:80} INFO - Update row with Video_ID: DQkCIxnkOyk
[2026-06-18T20:38:20.487+0000] {data_modification.py:80} INFO - Update row with Video_ID: HaH4YeqcXps
[2026-06-18T20:38:20.489+0000] {data_modification.py:80} INFO - Update row with Video_ID: Xy9iMdN3tik
[2026-06-18T20:38:20.491+0000] {data_modification.py:80} INFO - Update row with Video_ID: gjZX2IVSy9w
[2026-06-18T20:38:20.494+0000] {data_modification.py:80} INFO - Update row with Video_ID: i2KUDq4KWxY
[2026-06-18T20:38:20.496+0000] {data_modification.py:80} INFO - Update row with Video_ID: TnsW5QdKw3c
[2026-06-18T20:38:20.498+0000] {data_modification.py:80} INFO - Update row with Video_ID: CZ3YghuSd5c
[2026-06-18T20:38:20.501+0000] {data_modification.py:80} INFO - Update row with Video_ID: x3fs67gnrks
[2026-06-18T20:38:20.504+0000] {data_modification.py:80} INFO - Update row with Video_ID: 8e_YCJrwqog
[2026-06-18T20:38:20.506+0000] {data_modification.py:80} INFO - Update row with Video_ID: NurBK-zG22w
[2026-06-18T20:38:20.507+0000] {data_modification.py:80} INFO - Update row with Video_ID: mHpAqi7OssU
